User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12201,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:35:07,
ID1: Nalm6wt_AxB-FDA-A-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
P,1,Sample X361,26716
P,2,Sample X362,57582
P,3,Sample X363,191268
P,4,Sample X364,195539
P,5,Sample X365,28337
P,6,Sample X366,194520
P,7,Sample X367,28006
P,8,Sample X368,187531
P,9,Sample X369,193456
P,10,Sample X370,196509
P,11,Sample X371,196444
P,12,Sample X372,200412
P,13,Sample X373,198919
P,14,Sample X374,199336
P,15,Sample X375,190467
P,16,Sample X376,196898
P,17,Sample X377,192167
P,18,Sample X378,197596
P,19,Sample X379,198150
P,20,Sample X380,200628
P,21,Sample X381,197721
P,22,Sample X382,198746
P,23,Sample X383,196325
P,24,Sample X384,199175
