User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12222,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:42:55,
ID1: Nalm6wt_AxB-FDA-F-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
M,24,Sample X312,36009
N,1,Sample X313,201485
N,2,Sample X314,203062
N,3,Sample X315,206629
N,4,Sample X316,205745
N,5,Sample X317,201252
N,6,Sample X318,203666
N,7,Sample X319,200875
N,8,Sample X320,199446
N,9,Sample X321,204635
N,10,Sample X322,204875
N,11,Sample X323,207531
N,12,Sample X324,208890
N,13,Sample X325,210175
N,14,Sample X326,210800
N,15,Sample X327,203131
N,16,Sample X328,204245
N,17,Sample X329,201706
N,18,Sample X330,203534
N,19,Sample X331,203443
N,20,Sample X332,204141
N,21,Sample X333,201294
N,22,Sample X334,199875
N,23,Sample X335,196420
N,24,Sample X336,196882
O,1,Sample X337,209208
O,2,Sample X338,205490
O,3,Sample X339,207558
O,4,Sample X340,201209
O,5,Sample X341,208387
O,6,Sample X342,199473
O,7,Sample X343,208859
O,8,Sample X344,199322
O,9,Sample X345,216677
O,10,Sample X346,204742
O,11,Sample X347,211248
O,12,Sample X348,205927
O,13,Sample X349,215691
O,14,Sample X350,209430
O,15,Sample X351,213162
O,16,Sample X352,207577
O,17,Sample X353,209416
O,18,Sample X354,198915
O,19,Sample X355,210004
O,20,Sample X356,204529
O,21,Sample X357,204177
O,22,Sample X358,200519
O,23,Sample X359,202396
O,24,Sample X360,199288
P,1,Sample X361,197174
P,2,Sample X362,203071
P,3,Sample X363,197837
P,4,Sample X364,198039
P,5,Sample X365,198718
P,6,Sample X366,199631
P,7,Sample X367,199532
P,8,Sample X368,200803
P,9,Sample X369,200911
P,10,Sample X370,202327
P,11,Sample X371,202286
P,12,Sample X372,203292
P,13,Sample X373,203732
P,14,Sample X374,203596
P,15,Sample X375,201082
P,16,Sample X376,203098
P,17,Sample X377,199020
P,18,Sample X378,200240
P,19,Sample X379,202939
P,20,Sample X380,202668
P,21,Sample X381,200601
P,22,Sample X382,202292
P,23,Sample X383,198124
P,24,Sample X384,199466
